party,text
JA21,"De heer Van den Berg (JA21): Ja. Voorzitter. Uit een bericht vanuit Netbeheer Nederland blijkt dat de kosten voor energie-infrastructuur tot ongekende hoogten zullen stijgen als we op het huidige ondoordachte elektrificatiepad doorgaan. De 269 miljard euro die tot 2040 geïnvesteerd moet worden, moet ergens van betaald worden. In het bericht zien we dat een verdubbeling van de netwerktarieven voor huishoudens een optie is en in 2027 zouden die kosten al met 40% kunnen stijgen. Gezien de huidige energiekosten lijkt het me geen goed idee om huishoudens dit ook alvast in het vooruitzicht te stellen. Daarom wil ik hierover een debat met de staatssecretaris van Klimaat en Groene Groei, en specifiek over netcongestie."
Groep Markuszower,"De heer Markuszower (Groep Markuszower): Ik kom bij het eerste verzoek. Dat is inderdaad namens mevrouw Lammers, maar zij is wel van dezelfde fráctie, die u ""groep"" blijft noemen. Het lid Lammers wil een debat met de minister van Asiel en Migratie over het bericht dat de no-gozones in Europa zich uitbreiden. In dat artikel wordt migratie gezien als het sleutelprobleem en wij willen daar graag een debat over. Onze straten worden namelijk steeds onveiliger, onze dochters kunnen niet meer veilig over straat en onze zussen, moeders en vrouwen ook niet. Daar moet dus iets aan gedaan worden."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Steun voor dit debat, maar net als bij de jeugdzorg constateer ik ook hierbij dat er allemaal verschillende, versnipperde verzoeken zijn. Misschien is het handig om die van tevoren te bundelen. Dat maakt de kans op steun voor een debat misschien ook wat groter. Maar ik steun dit debat."
JA21,"De heer Ceulemans (JA21): Voorzitter. Wij vinden het heel urgent dat er gewoon op korte termijn een plenair asieldebat komt. Er zijn net twee verzoeken van mevrouw Vondeling en van mij afgewezen en ik heb niet de illusie dat er voor dit verzoek wel een meerderheid komt, maar ik steun ze bij voorbaat alle drie."
CDA,"De heer Krul (CDA): Voorzitter. Ik spreek niet namens de vereniging voor Volendammers. Er zijn meerdere asieldebatten aangevraagd en ik denk dat het goed is om binnenkort plenair door te praten over asiel, maar laten we dingen dan clusteren en dit soort debatten niet afzonderlijk inplannen. Voor dit verzoek dus geen steun, maar als er zaken samengevoegd kunnen worden, verandert dat mogelijk."
Groep Markuszower,"De heer Claassen (Groep Markuszower): Er wordt uitgegaan van 10 miljard aan zorgfraude. Het wordt steeds duidelijker dat dat maar het puntje van de ijsberg is en ook maar een lage inschatting. Steeds meer berichten duiken op waaruit blijkt dat ons zorgpremiegeld in de zakken van boeven, van tuig, terechtkomt. Zo wordt nu ook drugsgeld door criminelen witgewassen via pgb's, iets waar de Kamer al zo vaak over gesproken heeft en zich over uitgesproken heeft. We zien liever dat de regering dit soort praktijken met voorrang aanpakt in plaats van fors te bezuinigen op de zorg. Waar blijft de Wet integere bedrijfsvoering?"
Groep Markuszower,"De heer Claassen (Groep Markuszower): Die wet ligt ondertussen al twee jaar op de plank, voorzitter. Daarom wil ik graag een debat met de ministers van VWS en JenV om te bespreken hoe zij deze ellende binnen hele korte tijd de kop in gaan drukken, criminelen op gaan pakken en het geld terugstorten op de rekening van VWS."
SP,"De heer Jimmy Dijk (SP): Voorzitter. Heel goed dat we het vaker gaan hebben over het aanpakken van zorgfraude in plaats van hier steeds krokodillentranen te huilen over dat de zorgkosten de pan uit rijzen. We moeten zorgfraude aanpakken, ervoor zorgen dat zorg voor iedereen weer betaalbaar is en inderdaad beginnen bij de boeven die hun zakken vullen ten koste van zieke mensen."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Wel steun. Als we met elkaar het aanpakken van zorgfraude belangrijk vinden, dan moeten we het er ook met elkaar over hebben. Ik heb het dan over zorgfraude van organisaties en bedrijven, niet van mensen zelf. Het is goed om dat even te benoemen. We wachten inderdaad al twee jaar op een wet. De Kamer vraagt ook voortdurend: stuur die wet nou eens naar de Kamer. Laten we daar maar een plenair debat over hebben."
PVV,"De heer Chris Jansen (PVV): Dank u wel, voorzitter. Vorige week stond ik hier omdat de halve kottervloot niet kon uitvaren vanwege de dure dieselprijzen. Nu bereikte ons het bericht dat de Vissersbond vreest dat de hele vissersvloot, de hele kottervloot, niet kan uitvaren vanwege de gestegen dieselprijzen. Daarom verzoek ik wederom om een debat met de staatssecretaris van Landbouw, Visserij, Voedselveiligheid en Natuur en dit dan graag op korte termijn."
SP,"Mevrouw Beckerman (SP): En in plaats van felicitaties zou ik graag de steun van collega's willen vragen voor een debat over het bericht ""Bouw van minstens zeven megadatacenters gaat door, ondanks politiek verzet"". Ik hoef dat volgens mij niet verder toe te lichten. Het leek mij goed om daarbij de minister van VRO uit te nodigen. Waarschijnlijk is het ook wel slim om de minister van KGG en de staatssecretaris van EZ uit te nodigen. Ik hoop nu natuurlijk op brede steun."
BBB,"Mevrouw Van der Plas (BBB): Dank u wel, voorzitter. U en ik hebben vandaag een feestje te vieren en een paar anderen in deze Kamer ook, zoals de heer Grinwis en mevrouw Bikker. Het is vandaag namelijk precies vijf jaar geleden dat wij hier — nou, niet hier, maar in het oude Tweede Kamergebouw — werden beëdigd, namelijk op 31 maart 2021. Er is een lustrum te vieren, dus ik hoop ook op steun voor mijn debatten."
BBB,"Mevrouw Van der Plas (BBB): Nee, iedereen die vandaag een lustrum viert: van harte gefeliciteerd! Het waren roerige jaren; nog steeds. Voorzitter. Ik sta hier om een debat aan te vragen — dat moet zo snel mogelijk maar in ieder geval voor de zomer plaatsvinden — met de minister en de staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur naar aanleiding van de Kamerbrief die wij vrijdag hebben ontvangen over de Samenhangende aanpak Landbouw, Natuur en Stikstof. In het commissiedebat hadden wij het stikstof- en mestdebat al even uitgesteld, omdat we aan het wachten waren op een brief. Die brief is er nu. Ik las in de brief dat er ook nog wat brieven komen binnenkort. Omdat dit zo'n groot en veelomvattend onderwerp is, lijkt het me goed om daar een debat over te houden in de plenaire zaal en wel zo snel mogelijk, maar in ieder geval voor de zomer."
GroenLinks-PvdA,"Mevrouw Bromet (GroenLinks-PvdA): Voorzitter. Volgens mij hadden we het debat deze week uitgesteld, omdat we nog zaten te wachten op een andere brief. Dat was een brief over een plan om de stikstofcrisis op te lossen. Ik steun het verzoek voor een plenair debat, maar dan wil ik wel graag eerst die brief gezien hebben. Anders praten we in de lucht."
BBB,"Mevrouw Van der Plas (BBB): Mijn volgende verzoek, ja! Een gerenommeerde ecoloog, Luigi Boitani, heeft zich uitgelaten over het wolvenbeleid in Nederland. Hij constateert ook dat de wolf zich razendsnel aan het aanpassen is en dat de wolf zelfs al zodanig aangepast is dat hij het stadspark in Groningen zou kunnen krijgen als leefgebied. Dat zijn niet mijn woorden, maar zijn woorden. Vervolgens lezen we over het gedrag van wolven die zich mengen onder de mensen. Dat is weliswaar in Duitsland. Daar is een vrouw in het gezicht gebeten in Hamburg. Ook is er vanochtend een wolf doodgereden op de A1. In 2025 waren er ongeveer duizend aanvallen op vee. Dat aantal loopt steeds meer op. Het zijn geen incidenten meer, maar dat is structureel."
BBB,"Mevrouw Van der Plas (BBB): Van veeartsen horen wij dat zij inmiddels met PTSS-klachten kampen door wat zij in de weilanden aantreffen. Kortom, ik denk dat het hoog tijd is om een debat te houden over de aanwezigheid van de wolf in Nederland en over wat wij verder willen. Dat debat zou ik graag willen doen met de staatssecretaris van LVVN."
SP,"De heer Jimmy Dijk (SP): Ja! Het is een supermooie dag. Het was afgelopen weekend in Brussel echt hartstikke leuk. We hebben een prima weekend gehad. Ik hoop daarmee ook op uw vrolijkheid en uw steun voor een zeer serieuze zaak. Het gaat over oudere mensen die werkloos raken. We weten al jaren dat zij door werkgevers als kostenpost worden gezien, in plaats van dat ze een reële, eerlijke kans maken om een baan te krijgen als ze solliciteren. Daarvoor wil ik graag een debat aanvragen met de minister van Sociale Zaken en Werkgelegenheid."
SP,"De heer Jimmy Dijk (SP): Ik zal haar zo meteen even bellen om te zeggen dat ik het gebruikt heb om een meerderheid te krijgen, maar dat het niet gelukt is. Maar dank voor de felicitaties. Mijn tweede verzoek gaat over het debat dat we afgelopen week ook hebben gevoerd. We zien dat de energiecrisis en de betaalbaarheidscrisis in Nederland steeds verder toenemen. Die nemen niet af maar toe. Voordat we een nieuw debat ingepland hebben, ben ik bang dat we weken verder zijn. Ik zou hier dus graag een debat willen hebben over de oplopende inflatie en de stijgende kosten van basisbehoeften in Nederland. Dat zou ik graag willen doen met de minister van Economische Zaken."
SP,"De heer Jimmy Dijk (SP): Voorzitter. Ik tel, denk ik, weer 30 leden. Ik zal het de komende weken ook blijven doen, dus dan weten jullie dat. Zoals mevrouw Van der Plas dit bij de wolf doet, vind ik dat dit bij de betaalbaarheidscrisis van Nederland moet, want dit probleem wordt niet kleiner, maar zal groter worden. En ja, richting D66 gezegd, daar moet je iedere week een debat over voeren."
Groep Markuszower,"De heer Markuszower (Groep Markuszower): Ja, voorzitter, voor een debat met de minister-president, zelfs, over hoe zijn kabinet met de Kamer denkt om te gaan. Vorige week is met een slinkse truc een begroting erdoorheen gejast. De meerderheid van de Kamer heeft onder bepaalde voorwaarden voor de begroting van de heer Sjoerdsma gestemd. Die voorwaarden zijn een week later verbroken. Tevens meent de heer Sjoerdsma te kunnen denken dat UNRWA niet geïnfiltreerd is door de terroristen van Hamas, terwijl er heel veel bewijs is dat dit wel zo is. Dus graag een debat met de minister-president, want zo gaat dit natuurlijk niet. Als de Kamer zich buitenspel laat zetten, wat doen we hier dan de hele dag?"
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Maar dit is te makkelijk. Deze regering heeft een minderheid van 66 zetels. Er is een debat geweest over de regeringsverklaring. Toen is er van een groot gedeelte van de Kamer welwillendheid geweest om ze een kans te geven. Als je vervolgens, omdat je met z'n 66'en iets afgesproken hebt, denkt dat je op zo'n manier over de Kamer heen kunt walsen, dan gaat er iets fundamenteel mis. Steun, dus."
GroenLinks-PvdA,"Mevrouw Kröger (GroenLinks-PvdA): Voorzitter. Ook wij hebben vragen over hoe de steun aan UNRWA, die er keihard moet komen, daadwerkelijk gematerialiseerd wordt. Daar hebben we informatieverzoeken over gesteund. Er komt een brief, waarover we morgenochtend gaan debatteren met de minister. Dus geen steun."
JA21,"De heer Ceulemans (JA21): Voorzitter. Ik kan me ook heel goed vinden in de woorden van mevrouw Keijzer. Maar collega Hoogeveen heeft gisteren een brief gevraagd, die betrokken wordt bij het debat van morgen. Morgenochtend is er dus een debat over. Mochten de brief en het debat daar aanleiding toe geven, dan is een plenair debat volgende week prima, maar voor nu wachten we nog op morgenochtend."
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Dank u wel, voorzitter. Volgens mij waren we gisteren van links tot rechts geschokt over het besluit van de Israëlische regering en de Knesset om de doodstraf uit te breiden, opnieuw leven in te blazen en dan ook alleen maar toe te passen op Palestijnen. Wij hebben vorige week, toen dit eraan zat te komen, in de commissie Buitenlandse Zaken de minister al urgent om druk gevraagd. Nu is het gebeurd en nu is het ook belangrijk dat wij ons hier als Kamer urgent over kunnen uitspreken. Het hoeft geen lang debat te zijn. Daarom is mijn verzoek om een kort plenair debat met de minister van Buitenlandse Zaken hierover deze week of uiterlijk volgende week in te plannen. Ik zeg daar meteen het volgende bij, want ik spreek mensen ook in de tussentijd. Mocht daar geen meerderheid voor zijn, dan zou ik graag het verzoek willen doen om het als onderwerp toe te voegen aan het plenaire debat van morgen over christenvervolging."
SP,"De heer Jimmy Dijk (SP): Als er zoiets ongekends als dit gebeurt, als de doodstraf in een land wordt heringevoerd en dan alleen voor een zeker deel van de bevolking, lijkt het me heel goed om daar het debat over te voeren. Volgens mij zegt mevrouw Piri terecht dat dat geen ellenlang debat hoeft te zijn, maar het is wel goed om hier met het kabinet de degens over te kruisen."
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Dat begrijp ik, voorzitter. Ik wil nog heel kort reageren. Voor de mensen die denken dat het debat morgen niks te maken heeft met Palestijnen: het gaat ook om christenen die worden opgehangen. Voor de mensen die denken dat we hier elke week een debat hebben over Gaza: ik zou het even nagaan, want over het algemeen is daar nooit een meerderheid voor in deze Kamer."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Voorzitter, dank u wel. Enige weken geleden spraken we in de Kamer over de sluiting van de zorgvilla's voor zeer ernstig meervoudig gehandicapte kinderen. We weten allemaal dat als deze villa's sluiten, ouders in de problemen komen. 185 kinderen staan al op een wachtlijst en de wachttijd is inmiddels tien jaar. Moet u zich voorstellen wat dat betekent voor deze ouders. De minister heeft gezegd: ik ga alles op alles zetten om tot een goede oplossing te komen. Maar vandaag is de dag dat deze villa's zullen sluiten en we zien dat vast personeel langzaam maar zeker toch de deur achter zich dichttrekt. Daarmee staat deze zorg onder druk. Er zijn heel veel lessen te leren over wat er gebeurt als een bedrijf dit overneemt, maar allereerst wil ik het hebben over de gevolgen voor deze kinderen. Ik zou hierover dus, mede namens de SGP, een debat willen aanvragen, ten spoedigste te houden."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Absoluut steun, voorzitter. Het gaat letterlijk over de levens van deze kinderen. We hebben met de hele Kamer gezegd dat er een oplossing moet komen en de minister heeft ons als Kamer beloofd dat die oplossing er zou komen, maar wij horen hele andere verhalen van de mensen over wie het gaat. Ik vind dat we hier als Kamer een verantwoordelijkheid in hebben. Als een minister ons belooft dat er een oplossing komt, moeten wij er, vanuit onze controlerende taak, voor zorgen dat we de minister daaraan houden. Ik kijk dus ook uitdrukkelijk naar andere partijen om dit verzoek te steunen."
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Bij het vragenuurtje hebben we het over honderden kinderen gehad die een plek hadden in de gesloten jeugdzorg, maar nu in vakantieparken zitten. Dit doet daar ook weer aan denken. Er komt ander beleid, er wordt beloofd dat het wordt opgelost, maar het gebeurt niet. Steun voor het verzoek."
PvdD,"Kamerlid Kostić (PvdD): Dank, voorzitter. In verband met de snelheid van de besluitvorming in Europa en de mogelijk grote impact, doen we het verzoek om een debat over de Food and Feed Safety Simplification Omnibus in te plannen met de staatssecretaris van LVVN, het liefst net na het reces, in de week van 11 mei, maar als het moet, kan het ook in de week daarop. Dit verzoek wordt mede ingediend door het CDA, 50PLUS, de SP, GroenLinks-PvdA, oftewel PRO, D66, DENK en Volt. Daarmee wordt het verzoek door een meerderheid van de Kamer ingediend."
VVD,"Mevrouw Martens-America (VVD): Dank u wel, voorzitter. Het aantal eergerelateerde geweldsgevallen neemt rap toe. 757 gevallen, met helaas ook dodelijke afloop. Een eerwraak zoals die in het geval van Ryan staat ons nog helder op het netvlies, maar er zijn natuurlijk nog heel veel meer gevallen, ook richting mannen, wegens hun geaardheid, of omdat ze zelf geen geweld willen toepassen. Het lijkt ons van essentieel belang om dit hier op de agenda te zetten, helemaal omdat het debat inmiddels drie keer is aangevraagd, maar steeds is vervallen. We willen dan ook vragen om dit debat voor de zomer in te plannen."
PVV,"De heer Kops (PVV): Voorzitter. De Europese Commissie heeft een brief gestuurd aan alle Energieministers van de Europese Unie. De boodschap is, kort gezegd: het brandstofverbruik moet omlaag, maar de accijnzen moeten dat niet. Het tegenovergestelde moet natuurlijk gebeuren, want die accijnzen moeten wel degelijk omlaag, net als de bemoeizucht van de Europese Commissie. Graag doe ik dus hierbij het verzoek om die betreffende brief van de Europese Commissie aan de Kamer te zenden, met daarbij dan een reactie van het kabinet. Ook verzoek ik een debat met de minister van Klimaat en Groene Groei."
VVD,Mevrouw Müller (VVD): We hebben een plenair debat staan over de energieleveringszekerheid. Daar zou ik dit graag bij willen betrekken. Vandaag was de minister ook bij een extra ingelaste Raad van Ministers in Europa. Ik zou eigenlijk aan het ministerie willen vragen om ons daar snel over terug te koppelen.
SP,"De heer Jimmy Dijk (SP): Voorzitter. Mensen moeten niet onnodig veel onnodige kilometers maken, maar dat doen de meeste mensen ook niet. Maar politici moeten niet mensen gaan zitten aanspreken op minder kilometers maken terwijl ze afhankelijk zijn van hun autootje om op hun werk te komen, tegelijkertijd zien dat de kosten omhooggaan en daar niets aan doen, dus steun voor dit verzoek."
JA21,"De heer Ceulemans (JA21): Dank u wel, voorzitter. Qua onderwerp heeft dit tweeminutendebat een beetje overlap met het commissiedebat Armoede, dat we vorige week hebben gehad. Ook daar ging het over de recente armoedecijfers en de rol van de energierekening daarin, vandaar de volgende motie. De Kamer, gehoord de beraadslaging, constaterende dat de energierekening een belangrijke factor is in de recente stijging van armoede in Nederland; constaterende dat Nederland de hoogste energiebelasting op gas van Europa heft, bedoeld om aardgasgebruik te ontmoedigen, terwijl het overgrote deel van de huishoudens en bedrijven nog afhankelijk is van een aardgasaansluiting; overwegende dat voor veel huishoudens en ondernemers geen reëel alternatief voor gas beschikbaar is, waardoor verdere verhoging van de energiebelasting op gas direct leidt tot hogere vaste lasten zonder gedragsalternatief; overwegende dat juist huishoudens met lage en middeninkomens onevenredig hard getroffen worden door dergelijke lastenverzwaringen; verzoekt de regering af te zien van verdere verhogingen van de energiebelasting op gas, en gaat over tot de orde van de dag. De voorzitter: Deze motie is voorgesteld door de leden Ceulemans en Van den Berg. Zij krijgt nr. 885 (26448). Mevrouw Bromet (GroenLinks-PvdA): Dank u wel. De minister heeft aangegeven vijf minuten nodig te hebben voor de voorbereiding van de beantwoording."
JA21,"Mevrouw Coenradie (JA21): Voorzitter. Wat JA21 betreft is het huidige tempo van de groei van de zorgkosten voor de lange termijn onhoudbaar voor werkende Nederlanders. Dat er iets moet gebeuren, is wat ons betreft logisch, maar ik wil wel een winstwaarschuwing geven: onze steun is niet vrijblijvend. Niet alle onderdelen van het huidige pakket waarmee het kabinet gekomen is, steunen wij. Voor nu steunen wij deze begroting, maar dit is geen garantie voor de toekomst."
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Dank u wel, voorzitter. Het betreft eigenlijk een informatieverzoek. Onverminderde steun aan Oekraïne is ook een van de pijlers van het Nederlandse veiligheidsbeleid, maar intussen vliegen de kasschuiven ons om de oren, waardoor het voor ons als Kamer eigenlijk steeds moeilijker wordt om precies te zien hoeveel steun er nog naar Oekraïne gaat. Daarom doe ik het verzoek om de volgende informatie, het liefst te ontvangen voor de eerste termijn van het kabinet vanavond. Het betreft een overzicht met de geraamde uitgaven voor steun, ten tweede een overzicht met alle kasschuiven met betrekking tot Oekraïne van 2022 tot en met 2029 en ten derde een overzicht met alle gerealiseerde steun. Ten vierde: kan het kabinet ten slotte ook aangeven of er een verschil is tussen de aan de Kamer gecommuniceerde gerealiseerde steun en de actuele vervangingswaarde van die steun?"
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Ja, voorzitter. Het verzoek is om een debat over de situatie in het Midden-Oosten, waar reeds een aantal maanden geleden een meerderheid voor was, in ieder geval voor het meireces in te boeken. We zien allemaal wat er gaande is in Libanon en wat er gaande is op de Westbank. Ik vermoed dat de Kamer nog voor het meireces ook over Iran wenst te spreken. Vandaar dit verzoek."
SP,"Mevrouw Dobbe (SP): Van harte steun, want wij stonden hier een aantal weken met een verzoek voor een debat, bijvoorbeeld over de medische evacuatie van kinderen, die toen al superurgent was. Toen zouden deze debatten snel worden ingepland, maar ze staan nog steeds niet ingepland. Wat mij betreft dus voor het meireces, maar het liefst zo snel mogelijk."
DENK,"De heer Van Baarle (DENK): Voorzitter, dank. We hebben dit onderwerp ook net besproken bij het mondelinge vragenuur. Naar de mening van mijn fractie hebben we een onbevredigend antwoord gekregen vanuit de zijde van het kabinet, dus ik zou graag een brief willen vragen van het kabinet met een reactie op het nieuwsbericht dat een schip onder de Nederlandse vlag wapens levert aan Israël en dat dit vaker voor zou komen door middel van het opgeven van een onware bestemming, dan wel spookbestemmingen. We willen graag horen wat het kabinet voornemens is daaraan te doen. Daarover zou ik graag het debat willen voeren met de minister van Buitenlandse Zaken en de minister van Buitenlandse Handel en Ontwikkelingshulp."
Volt,"De heer Dassen (Volt): Voorzitter. Volgens mij willen we als Kamer in grote meerderheid dat we onafhankelijker worden van de Verenigde Staten. Nu zien we toch dat Defensie momenteel lijkt in te zetten op onbemande vliegtuigen die afhankelijk zijn van Amerikaanse technologie. Daar maken wij ons zorgen over, zeker ook omdat de techbedrijven die daarbij betrokken zijn, uitspraken doen die niet passen bij de Nederlandse en Europese waarden. Daarom zou ik daar graag een debat over willen met de staatssecretaris van Defensie."
Volt,"De heer Dassen (Volt): Helaas. Dan het tweede verzoek, nog bizarder. We hebben hier nog niet zo lang geleden een debat gevoerd over Solvinity. Daarbij werd gezegd dat het zeer onwaarschijnlijk zou zijn dat de Verenigde Staten verschillende gegevens zouden opvragen over ambtenaren binnen de Europese Unie. Dat lijkt nu wel het geval. Amerikaanse wetgevers die informatie opvragen bij de tien techbedrijven over informatie van binnen de Europese Unie en over ambtenaren; dat is wat mij betreft onacceptabel en daar zullen we het debat over moeten voeren met de minister van Binnenlandse Zaken en de staatssecretaris van Economische Zaken en Klimaat."
GroenLinks-PvdA,"Mevrouw Kathmann (GroenLinks-PvdA): Ik wil zelfs de heer Dassen danken voor het agenderen, want als we hier niet meer over willen debatteren, weet ik het ook niet meer. Er is echt gevraagd om informatie in encrypted communicatie, in communicatiemiddelen waar gewoon staat ""delete dit meteen"", en dat van ambtenaren. Dit kan echt niet langer."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Voorzitter. Afgelopen week hadden we het commissiedebat Staat van de infrastructuur. De minister deed toch wel het klemmende beroep op ons als Kamer om snel te handelen als we nog wat mee willen geven wat betreft de prioritering richting de grootste onderhoudsopgave ooit. Ik heb daarom de minister beloofd om hier nog deze week een tweeminutendebat te organiseren, zodat we daar moties kunnen indienen. Daarom mijn verzoek om deze week nog een tweeminutendebat daarover te houden."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Yes. Dat gaat over het debat over de economische gevolgen voor Nederland van de oorlog in het Midden-Oosten. De berichten vliegen ons om de oren. Een DNB-rapport, ministers die op televisie wat zeggen: je kunt het zo gek niet bedenken of het komt allemaal wel voorbij. Ik zou de Kamer dus willen vragen om het debat uit te breiden met twee minuten, dus naar zes minuten spreektijd, zodat we het uitgebreid met elkaar, en dus ook met de vier bewindspersonen die daar straks en morgenavond in vak K zitten, kunnen bespreken."
VVD,"Mevrouw Martens-America (VVD): Dank u wel, voorzitter. Het belang van economische groei en een sterke economie is steeds groter; dat blijkt ook de afgelopen weken maar weer. Na Draghi hebben wij ook een Nederlandse variant gekregen, namelijk het rapport-Wennink. Het lijkt mijn fractie dan ook ontzettend belangrijk en nuttig om dat in zijn volle breedte in alle rust hier verder te bespreken. Daarom wil ik daar graag een debat over aanvragen."
Groep Markuszower,"Mevrouw Moinat (Groep Markuszower): Dank, voorzitter. Wederom gaat het mis met de Jeugdbescherming Noord. In het AD viel te lezen: ""Jongen (13) gedumpt op vakantiepark zonder begeleiding, rechter vernietigend over jeugdbescherming"". In juli 2025 kwam het rapport van IGJ en de IJV met de titel Jeugdbescherming Noord - Toezicht jeugdbescherming en jeugdreclassering. Ik citeer: ""De inspecties hebben er geen vertrouwen in dat Jeugdbescherming Noord erin slaagt om álle geconstateerde normafwijkingen binnen afzienbare tijd weg te nemen."" En dan citeer ik weer, nu uit de voortgangsrapportage februari 2026 over het verbeterplan: ""We blijven hard werken aan de verdere verbeteringen in onze organisatie en hebben er vertrouwen in dat dit steeds meer zichtbare en voor onze jeugdigen en gezinnen merkbare en voelbare resultaten zal opleveren."" Maar, voorzitter. Wat blijkt? Jeugdbescherming Noord moet nu voor 30 maart een plek zoeken voor deze jongen die zij gewoon in een vakantiehuisje hebben achtergelaten, zonder hulp."
D66,Mevrouw Synhaeve (D66): Mede namens CDA en VVD geen steun voor dit verzoek. Wij willen eerst veel scherper weten waarom een gecertificeerde instelling keer op keer faalt en waarom ook verscherpt toezicht vanuit de inspectie geen effect heeft. Wij willen daarom eerst een technische briefing. Die zullen wij aanvragen via de procedurevergadering van de commissie.
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Nou, ik ben er gewoon niet zo voor om het hier in een plenair debat over individuele situaties te hebben. Laten we dus die technische briefing houden en laten we het er met elkaar over gaan hebben wat hier allemaal misgaat. Dan kunnen we wat mij betreft op basis van goede informatie op langere termijn een breder debat voeren."
JA21,"De heer Goudzwaard (JA21): Voorzitter. Dat klopt helemaal. Ik doe dit verzoek namens de heer Clemminck. Je zult maar zes, zeven of acht jaar op een wachtlijst staan voor een sociale huurwoning en vervolgens links ingehaald worden door een statushouder als je eindelijk aan de beurt bent. Voor JA21 moet er zo snel mogelijk een einde komen aan de discriminatie van Nederlanders op de woonmarkt. Daarom waren wij ook zo ontiegelijk blij met het wetsvoorstel dat daaraan een eind zou maken. Maar helaas trekt de D66-minister van Wonen dit voorstel weer keihard terug. Daarom vragen we steun voor een debat met de minister van VRO."
FVD,"De heer Van Duijvenvoorde (FVD): De uitslag van de gemeenteraadsverkiezingen heeft aangetoond dat een meerderheid van de Nederlanders van mening is dat er geen asielzoekers meer moeten worden opgevangen. In meerdere gemeenten hebben partijen gewonnen die al gezegd hebben dat zij de Spreidingswet niet willen gaan uitvoeren. Ik heb het dan over Velsen, Epe, Terneuzen, Hoorn, Stede Broec en Venlo. Met het aannemen van de Spreidingswet ging de Nederlandse overheid een belofte aan met de gemeenten om landelijk de instroom te beperken. Deze belofte is zij niet nagekomen. Wij willen daarom graag een debat voeren met de minister van Asiel en Migratie over de houdbaarheid van de Spreidingswet, de noodzaak van sterke nationale instroommaatregelen en de dynamiek tussen de gemeenten en het Rijk."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Er staat gewoon een commissiedebat over dit onderwerp ingepland, dus het lijkt mij niet wenselijk dat we het debat zowel hier voeren als in de commissiezaal. Bovendien is het ook niet waar wat er werd gezegd. Waar mensen in onze gemeenten wel last van hebben, is dat hier allerlei zaken worden beweerd die niet waar zijn."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Drenthe heeft een wolvenprotocol voor het geval dat een wolf wordt gezien bij een kinderopvang of een school. Wie helpt allemaal mee aan zo'n wolvenprotocol? Dat zijn de gemeenten, politie, scholen, kinderopvangorganisaties, wolvendeskundigen en het Landelijk Informatiepunt Wolven. Het is te gek voor woorden. Echt, serieus. Het is te gek voor woorden dat dit moet."
BBB,"Mevrouw Van der Plas (BBB): Ja, ik heb daar een verzoek over. Kinderen krijgen namelijk het advies om binnen te blijven en niet weg te rennen. Ik vraag me echt af hoelang we dit nog normaal vinden. Daarom wil ik graag een debat aanvragen met de staatssecretaris over de wolf en alles wat daarmee te maken heeft, mede omdat provincies ook vragen om snelle actie. Een debat hierover is dus echt op korte termijn noodzakelijk."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Dank u wel, voorzitter. Inmiddels doe ik dat ook mede namens de SGP. Voorzitter. Gisteren werd bekend dat de abortuspil, waarvan het eerder mogelijk is gemaakt dat die verstrekt wordt door de huisarts, inmiddels ook online verstrekt gaat worden. Dat is naar de mening van mijn fractie een verder uithollen of oprekken van de Wet afbreking zwangerschap en geeft een nieuwe interpretatie aan deze wet. Met een nieuwe interpretatie van de wet vind ik het tijd dat hier eerst een debat wordt gevoerd door de wetgever. Ik vind het ontzettend onverstandig en helaas ook heel onzorgvuldig als deze zware medicatie via internet verstrekt zou worden. Daarom doe ik het verzoek om een debat."
